"Timestamp","Gender","Age( in years)","District","What is the highest level of education completed by you?","Occupation","Average monthly income (in Sri Lankan Rupees)","How did you get to know about the Banking Mobile App?","How long have you used the Banking Mobile App?","How often do you make a transaction?","What type of transactions do you currently make using the banking mobile app?","Which factor motivated you to use the banking mobile app?","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using banking mobile app is comfortable.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am happy with the user interface of the  banking mobile app.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I think using the  banking mobile app is secure.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [I am satisfied with the level of data and information security level offered by the bank.]","Please rate the extent to which you agree with each statement below. Please choose the right option as appropriate. [When considering the overall service, I am satisfied with using the banking mobile app.]","Would you recommend using Banking Mobile App for you friend?"
"2020/11/22 5:14:06 AM GMT+5:30","Female","31 to 40","Mathara","Post Graduate","Private Sector Employee","Between 90001 to 120000","By a commercial advertisement.","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Opening Fixed Deposits","Ease of use;Safe service;Providing anytime anywhere bill payment or money transferring facility","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 5:58:39 AM GMT+5:30","Male","31 to 40","Colombo","Post Graduate","Private Sector Employee","Above 150000","Friends or Family","More than 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement","Ease of use;Cost effectiveness","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 7:59:14 AM GMT+5:30","Female","31 to 40","Kandy","Post Graduate","Government Employee","Above 150000","Friends or Family","Between 3 to 5 years","Occasionally (less than once a month)","Money transfer","Ease of use","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Yes"
"2020/11/22 8:35:39 AM GMT+5:30","Female","19 to 30","Rathnapura","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 3 to 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 8:48:41 AM GMT+5:30","Male","31 to 40","Puttalam","Graduate","Government Employee","Between 60001 to 90000","Bank directly","Between 1 to 3 years","Weekly-Once","Bill payment;Purchasing","Ease of use;Reduced time of transaction;Safe service","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Yes"
"2020/11/22 8:57:08 AM GMT+5:30","Female","19 to 30","Gampaha","Graduate","Private Sector Employee","Above 150000","Friends or Family","Less than 1 year","Monthly-once","Money transfer;Bill payment","Ease of use","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Yes"
"2020/11/22 8:59:39 AM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Private Sector Employee","Between 120001 to 150000","Bank directly","More than 5 years","Weekly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Purchasing","Ease of use;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes"
"2020/11/22 8:59:56 AM GMT+5:30","Female","31 to 40","Gampaha","Graduate","Private Sector Employee","Above 150000","Bank directly","Between 1 to 3 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment;Savings;Purchasing;Opening Fixed Deposits","Ease of use;Cost effectiveness;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
"2020/11/22 9:20:35 AM GMT+5:30","Female","19 to 30","Puttalam","Graduate","Government Employee","Between 30001 to 60000","By a commercial advertisement.","Between 1 to 3 years","Weekly-several times","Money transfer;Bill payment;Purchasing","Ease of use;Reduced time of transaction;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Neither agree Nor disagree","Somewhat agree","Yes"
"2020/11/22 9:34:42 AM GMT+5:30","Female","31 to 40","Colombo","Post Graduate","Private Sector Employee","Above 150000","Bank directly","More than 5 years","Occasionally (less than once a month)","Money transfer;Balance inquiry / Bank statement;Purchasing","Ease of use;Cost effectiveness;Reduced time of transaction;To Experience new technology;Safe service;Providing anytime anywhere bill payment or money transferring facility","Somewhat disagree","Somewhat disagree","Neither agree Nor disagree","Neither agree Nor disagree","Neither agree Nor disagree","Maybe"
"2020/11/22 9:46:13 AM GMT+5:30","Male","19 to 30","Galle","Graduate","Private Sector Employee","Between 90001 to 120000","By a commercial advertisement.","Between 3 to 5 years","Monthly-several times","Money transfer;Balance inquiry / Bank statement;Bill payment","Ease of use;Cost effectiveness;Reduced time of transaction;Safe service;Providing anytime anywhere bill payment or money transferring facility","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Yes"
